avaliacoes,iteracao,custo_melhor,custo_medio
100,0,44894.5635,51070.9244
198,1,41759.6006,49361.7931
296,2,41759.6006,48163.3668
394,3,41759.6006,46948.8697
492,4,41759.6006,46018.0291
590,5,40396.4649,44982.8961
688,6,40396.4649,44342.0137
786,7,39000.7580,43405.5250
884,8,37662.8178,42705.9694
982,9,37662.8178,41694.4636
1080,10,37662.8178,40962.9077
1178,11,37662.8178,40449.2123
1276,12,37072.6575,39891.8284
1374,13,36243.9983,39372.8664
1472,14,36034.1951,38777.0500
1570,15,36034.1951,38336.4213
1668,16,35548.9349,37722.5563
1766,17,34876.1894,37535.6724
1864,18,34876.1894,37191.5270
1962,19,33810.9016,36742.8071
2060,20,33423.4047,36388.1312
2158,21,33153.1569,36219.2122
2256,22,33153.1569,35707.8622
2354,23,32567.7382,35463.9980
2452,24,32264.7935,35382.3238
2550,25,31885.2819,35103.4964
2648,26,31885.2819,34774.9616
2746,27,31885.2819,34617.0265
2844,28,31885.2819,34564.2828
2942,29,31429.8375,34276.2980
3040,30,31429.8375,33981.7525
3138,31,31429.8375,33938.2828
3236,32,31429.8375,33888.1095
3334,33,30767.7471,33789.9637
3432,34,30720.5679,33468.1320
3530,35,30351.7356,33262.8765
3628,36,30351.7356,33087.7813
3726,37,30351.7356,33087.2179
3824,38,30351.7356,32952.9693
3922,39,29910.2318,32684.2622
4020,40,29910.2318,32496.4915
4118,41,29883.0770,32072.3452
4216,42,29817.2640,31913.3378
4314,43,28975.3818,31806.1630
4412,44,28975.3818,31766.1138
4510,45,28924.0413,31575.1832
4608,46,28770.5084,31312.1969
4706,47,28770.5084,31194.5835
4804,48,28770.5084,31112.9564
4902,49,28300.9190,30773.9988
5000,50,28300.9190,30796.4766
5098,51,28300.9190,30648.4373
5196,52,28300.9190,30455.5213
5294,53,28300.9190,30196.9915
5392,54,28300.9190,30011.2510
5490,55,28043.8851,29862.9211
5588,56,27918.9276,29716.5167
5686,57,27918.9276,29654.5832
5784,58,27918.9276,29435.3014
5882,59,27405.6094,29200.0220
5980,60,26930.4247,29079.4198
6078,61,26930.4247,29048.4761
6176,62,26930.4247,29086.9731
6274,63,26611.6808,28887.1588
6372,64,26413.2706,28658.6440
6470,65,26403.7270,28684.8185
6568,66,25563.8835,28571.4188
6666,67,25563.8835,28194.8490
6764,68,25263.4175,27901.6749
6862,69,25025.7048,27742.8037
6960,70,25025.7048,27766.6515
7058,71,25009.3276,27501.5664
7156,72,25009.3276,27203.7000
7254,73,24835.4953,27167.2707
7352,74,24835.4953,27027.6622
7450,75,24835.4953,26619.0736
7548,76,24725.3901,26487.3631
7646,77,24725.3901,26210.8777
7744,78,23706.3303,25977.9965
7842,79,23258.5258,25967.1092
7940,80,23258.5258,25837.4168
8038,81,23128.6026,25727.0329
8136,82,23128.6026,25684.7003
8234,83,22854.6754,25386.1037
8332,84,22303.2128,25494.1083
8430,85,22303.2128,25217.7165
8528,86,22303.2128,24970.7176
8626,87,22303.2128,24740.2162
8724,88,22303.2128,24541.9047
8822,89,22074.0705,24294.2387
8920,90,22074.0705,24206.7733
9018,91,21971.2613,23915.2043
9116,92,21971.2613,23738.3366
9214,93,21778.6566,23538.8928
9312,94,21778.6566,23502.9194
9410,95,21778.6566,23295.5707
9508,96,21575.5862,23108.7337
9606,97,21499.4809,23161.6146
9704,98,21499.4809,23048.4994
9802,99,21499.4809,23078.0580
9900,100,21499.4809,23219.4659
9998,101,21499.4809,23261.7245
10096,102,21499.4809,23123.4388
10194,103,21393.5170,23096.3349
10292,104,21393.5170,23290.4406
10390,105,21186.6564,23178.0561
10488,106,21186.6564,23098.5445
10586,107,21186.6564,22904.4715
10684,108,21186.6564,22705.7055
10782,109,21186.6564,22797.9045
10880,110,21186.6564,22720.0756
10978,111,20507.3990,22562.4439
11076,112,20507.3990,22325.0841
11174,113,20507.3990,22265.7803
11272,114,20507.3990,22128.9543
11370,115,20507.3990,22051.0290
11468,116,20490.8189,21960.3436
11566,117,20468.6214,21937.6861
11664,118,20435.8812,21641.2469
11762,119,20316.3301,21830.9486
11860,120,20316.3301,21662.8449
11958,121,20316.3301,21497.6799
12056,122,20140.3670,21311.3933
12154,123,20123.7868,21170.1651
12252,124,20047.6435,20985.0762
12350,125,19953.9206,20982.2330
12448,126,19953.9206,21131.5153
12546,127,19953.9206,21173.8823
12644,128,19824.2648,21100.1972
12742,129,19824.2648,20990.4368
12840,130,19753.5788,21043.8442
12938,131,19634.2501,20960.7525
13036,132,19634.2501,21100.0932
13134,133,19634.2501,21092.2126
13232,134,19634.2501,20861.4933
13330,135,19620.2902,20884.6424
13428,136,19620.2902,20809.8732
13526,137,19620.2902,20748.4088
13624,138,19419.3309,20714.9382
13722,139,19419.3309,20674.3544
13820,140,19384.9869,20727.0554
13918,141,19280.9430,20677.4995
14016,142,19280.9430,20450.0909
14114,143,19172.2484,20458.9501
14212,144,19130.6360,20384.5624
14310,145,19130.6360,20254.2050
14408,146,18922.1321,20124.4008
14506,147,18922.1321,20065.5708
14604,148,18922.1321,20045.7499
14702,149,18767.1087,20128.1588
14800,150,18767.1087,20255.5925
14898,151,18767.1087,20218.9128
14996,152,18767.1087,20157.0429
15094,153,18614.9213,20082.1426
15192,154,18541.1288,20001.8984
15290,155,18541.1288,19967.1412
15388,156,18218.4604,20020.8587
15486,157,18218.4604,20159.1170
15584,158,18218.4604,20119.3970
15682,159,18218.4604,20070.9669
15780,160,18218.4604,20197.5996
15878,161,18218.4604,20211.4354
15976,162,18170.7987,20137.6667
16074,163,18170.7987,19931.6177
16172,164,18170.7987,19936.8407
16270,165,18170.7987,19529.7267
16368,166,18170.7987,19509.4224
16466,167,18098.6628,19358.6827
16564,168,17905.3115,19389.6271
16662,169,17905.3115,19203.2888
16760,170,17793.9130,19058.5046
16858,171,17793.9130,18897.6029
16956,172,17793.9130,18832.9070
17054,173,17793.9130,18993.5003
17152,174,17642.5117,18723.2040
17250,175,17642.5117,18686.3377
17348,176,17528.4258,18600.5701
17446,177,17425.1550,18627.8963
17544,178,17425.1550,18779.3355
17642,179,17425.1550,18795.0051
17740,180,17258.6124,18728.6433
17838,181,17258.6124,18792.3695
17936,182,17136.1337,18803.1060
18034,183,16874.1164,18944.9020
18132,184,16874.1164,18925.4506
18230,185,16741.7242,18740.3696
18328,186,16741.7242,18629.0083
18426,187,16741.7242,18292.6137
18524,188,16741.7242,18210.9886
18622,189,16741.7242,18280.9626
18720,190,16741.7242,18264.8992
18818,191,16716.7560,18281.9222
18916,192,16716.7560,18220.2412
19014,193,16716.7560,18077.1836
19112,194,16705.4786,17994.5200
19210,195,16705.4786,18059.6036
19308,196,16705.4786,18185.9170
19406,197,16700.5031,17927.4846
19504,198,16700.5031,17751.8310
19602,199,16700.5031,17528.7793
19700,200,16641.8756,17341.6269
19798,201,16395.8816,17263.3807
19896,202,16381.5516,17084.1122
19994,203,16381.5516,17032.7430
20092,204,16381.5516,17053.2885
20190,205,16381.5516,17033.0327
20288,206,16100.5498,16944.7595
20386,207,16100.5498,16995.3240
20484,208,16100.5498,17031.3356
20582,209,16100.5498,16962.0105
20680,210,16100.5498,16974.4362
20778,211,16100.5498,16855.5028
20876,212,15973.5161,16951.8080
20974,213,15973.5161,16975.3005
21072,214,15973.5161,16868.9462
21170,215,15917.4344,16924.2095
21268,216,15814.5295,16625.8783
21366,217,15669.8040,16540.3844
21464,218,15669.8040,16551.1634
21562,219,15669.8040,16512.9524
21660,220,15669.8040,16444.5151
21758,221,15656.1926,16349.6800
21856,222,15656.1926,16205.9716
21954,223,15587.3559,16059.2364
22052,224,15543.4552,16046.2274
22150,225,15543.4552,16137.1460
22248,226,15543.4552,16216.4861
22346,227,15543.4552,16158.5337
22444,228,15543.4552,16101.6111
22542,229,15490.2547,16102.9840
22640,230,15391.0893,16169.3541
22738,231,15391.0893,16125.9061
22836,232,15365.7820,16050.1427
22934,233,15324.3397,15997.5803
23032,234,15237.0090,15755.5373
23130,235,15226.7277,15678.5059
23228,236,15211.7017,15599.2055
23326,237,15149.3109,15625.4672
23424,238,15061.9801,15603.2638
23522,239,15022.5987,15512.3069
23620,240,14927.2531,15590.2945
23718,241,14927.2531,15535.7402
23816,242,14752.2243,15422.4366
23914,243,14735.3000,15392.8525
24012,244,14735.3000,15356.3270
24110,245,14735.3000,15254.4991
24208,246,14690.4096,15070.7918
24306,247,14690.4096,15031.2395
24404,248,14690.4096,14902.0396
24502,249,14690.4096,14931.1150
24600,250,14690.4096,14849.7080
24698,251,14690.4096,14865.3352
24796,252,14525.9023,14881.2579
24894,253,14525.9023,14835.9238
24992,254,14525.9023,14777.7021
25090,255,14525.9023,14846.4157
25188,256,14505.6223,14694.5320
25286,257,14505.6223,14689.3317
25384,258,14505.6223,14670.5281
25482,259,14505.6223,14716.0542
25580,260,14499.9425,14710.7218
25678,261,14443.6814,14681.9613
25776,262,14443.6814,14849.5200
25874,263,14377.0767,14754.1556
25972,264,14377.0767,14641.0214
26070,265,14377.0767,14684.5824
26168,266,14315.1358,14637.7568
26266,267,14315.1358,14707.1922
26364,268,14315.1358,14606.3686
26462,269,14315.1358,14570.6894
26560,270,14187.5923,14463.9048
26658,271,14187.5923,14526.1319
26756,272,14077.5185,14495.4487
26854,273,14077.5185,14576.8984
26952,274,14043.4548,14534.0790
27050,275,14043.4548,14690.6469
27148,276,13992.1327,14623.3074
27246,277,13943.2256,14714.5868
27344,278,13943.2256,14677.1353
27442,279,13943.2256,14703.5021
27540,280,13943.2256,14529.4090
27638,281,13935.7492,14616.0900
27736,282,13935.7492,14800.2497
27834,283,13935.7492,14877.0854
27932,284,13892.9892,15011.4277
28030,285,13892.9892,15222.1198
28128,286,13892.9892,15037.3564
28226,287,13892.9892,15286.9518
28324,288,13878.8994,15334.3756
28422,289,13878.8994,15348.0876
28520,290,13878.8994,15256.2401
28618,291,13878.8994,15217.9267
28716,292,13878.8994,15123.9304
28814,293,13833.3850,15184.7011
28912,294,13833.3850,15139.9445
29010,295,13721.3233,15216.4667
29108,296,13685.8982,15174.1815
29206,297,13685.8982,15079.1789
29304,298,13685.8982,14925.6493
29402,299,13685.8982,14861.7233
29500,300,13685.8982,15035.7718
29598,301,13685.8982,15066.5860
29696,302,13685.8982,15112.6606
29794,303,13685.8982,14982.2942
29892,304,13685.8982,14775.1035
29990,305,13685.8982,14724.0525
30088,306,13685.8982,14664.3155
30186,307,13685.8982,14589.9412
30284,308,13682.4585,14773.9793
30382,309,13682.4585,14837.1642
30480,310,13682.4585,14691.3529
30578,311,13682.4585,14688.8054
30676,312,13682.4585,14482.7492
30774,313,13538.8706,14409.9060
30872,314,13538.8706,14396.6671
30970,315,13538.8706,14224.4120
31068,316,13535.4309,14181.6089
31166,317,13535.4309,14251.4791
31264,318,13343.8220,14238.9984
31362,319,13343.8220,14236.8721
31460,320,13343.8220,14123.4226
31558,321,13340.3823,13892.8866
31656,322,13310.3820,13727.1660
31754,323,13310.3820,13584.9510
31852,324,13310.3820,13569.2714
31950,325,13141.0740,13594.9298
32048,326,13141.0740,13649.6936
32146,327,13141.0740,13811.4813
32244,328,13141.0740,13838.0359
32342,329,13141.0740,13912.4563
32440,330,13141.0740,13938.1091
32538,331,13141.0740,14021.1011
32636,332,13141.0740,14082.3475
32734,333,13141.0740,14173.4932
32832,334,13141.0740,14259.7644
32930,335,13141.0740,14123.1932
33028,336,13141.0740,13914.5331
33126,337,13141.0740,13867.3511
33224,338,13141.0740,13830.4035
33322,339,13141.0740,13708.3505
33420,340,13141.0740,13681.2150
33518,341,13141.0740,13821.7555
33616,342,13141.0740,13930.4753
33714,343,13141.0740,13983.8091
33812,344,13141.0740,13979.2715
33910,345,13141.0740,13905.7356
34008,346,13141.0740,13910.3300
34106,347,13141.0740,13782.8306
34204,348,13141.0740,13702.1126
34302,349,13141.0740,13687.7478
34400,350,13141.0740,13507.5686
34498,351,12900.9038,13590.9988
34596,352,12900.9038,13708.0430
34694,353,12900.9038,13917.1086
34792,354,12900.9038,13908.5989
34890,355,12900.9038,13972.2801
34988,356,12900.9038,13970.4860
35086,357,12900.9038,13883.6768
35184,358,12900.9038,13771.0742
35282,359,12900.9038,13924.8069
35380,360,12900.9038,13986.6571
35478,361,12900.9038,14045.5295
35576,362,12895.2899,14142.2464
35674,363,12895.2899,14187.2744
35772,364,12895.2899,14342.3331
35870,365,12895.2899,14374.2600
35968,366,12895.2899,14380.3273
36066,367,12895.2899,14542.0356
36164,368,12895.2899,14771.8277
36262,369,12895.2899,14807.9164
36360,370,12847.1044,14739.0999
36458,371,12847.1044,14710.9276
36556,372,12847.1044,14602.0850
36654,373,12847.1044,14547.4776
36752,374,12847.1044,14242.7008
36850,375,12847.1044,14179.8102
36948,376,12741.3086,13951.2494
37046,377,12741.3086,13852.4436
37144,378,12741.3086,13784.1585
37242,379,12741.3086,13695.5646
37340,380,12703.0891,13591.6878
37438,381,12651.7588,13340.3091
37536,382,12613.5393,13455.8902
37634,383,12597.2933,13372.9530
37732,384,12597.2933,13251.0771
37830,385,12597.2933,13028.8809
37928,386,12507.7435,12903.2976
38026,387,12390.6845,12910.8397
38124,388,12390.6845,12682.4532
38222,389,12390.6845,12694.2761
38320,390,12390.6845,12656.9801
38418,391,12390.6845,12702.6372
38516,392,12390.6845,12625.9261
38614,393,12382.0868,12561.7354
38712,394,12382.0868,12617.0471
38810,395,12382.0868,12542.0960
38908,396,12140.4237,12563.0814
39006,397,12140.4237,12651.1237
39104,398,12140.4237,12654.1925
39202,399,12053.5704,12647.4306
39300,400,12053.5704,12603.2100
39398,401,12053.5704,12454.3825
39496,402,12016.7514,12398.6913
39594,403,12016.7514,12390.8610
39692,404,11998.7271,12399.3196
39790,405,11998.7271,12379.9961
39888,406,11989.6644,12340.6152
39986,407,11989.6644,12344.9071
40084,408,11989.6644,12313.2879
40182,409,11989.6644,12271.5978
40280,410,11853.1749,12319.2330
40378,411,11844.5451,12262.6018
40476,412,11844.5451,12184.5309
40574,413,11844.5451,12319.1060
40672,414,11844.5451,12417.0218
40770,415,11844.5451,12308.5203
40868,416,11844.5451,12300.9833
40966,417,11844.5451,12295.9933
41064,418,11844.5451,12242.2644
41162,419,11844.5451,12116.6315
41260,420,11844.5451,12085.6596
41358,421,11844.5451,12016.5512
41456,422,11844.5451,11963.3060
41554,423,11844.5451,11983.5856
41652,424,11844.5451,12029.8445
41750,425,11844.5451,11973.4387
41848,426,11844.5451,11958.9249
41946,427,11727.6426,12012.0265
42044,428,11727.6426,12004.7165
42142,429,11727.6426,11982.8207
42240,430,11727.6426,12018.2543
42338,431,11727.6426,11987.7025
42436,432,11727.6426,11972.0721
42534,433,11727.6426,11932.8029
42632,434,11603.5961,11841.5987
42730,435,11603.5961,11866.3727
42828,436,11603.5961,11900.3502
42926,437,11603.5961,11802.6028
43024,438,11603.5961,11825.4343
43122,439,11493.2392,11851.4866
43220,440,11493.2392,11814.4728
43318,441,11493.2392,11783.5997
43416,442,11493.2392,11843.5023
43514,443,11493.2392,11856.6311
43612,444,11493.2392,11821.5727
43710,445,11493.2392,12015.1979
43808,446,11493.2392,11774.9986
43906,447,11466.4485,11755.6993
44004,448,11466.4485,11810.9317
44102,449,11466.4485,11644.2335
44200,450,11466.4485,11643.4493
44298,451,11466.4485,11647.9923
44396,452,11466.4485,11627.9139
44494,453,11466.4485,11661.6394
44592,454,11466.4485,11602.5483
44690,455,11466.4485,11616.2441
44788,456,11466.4485,11636.2987
44886,457,11466.4485,11623.3120
44984,458,11466.4485,11571.9467
45082,459,11466.4485,11626.2025
45180,460,11466.4485,11624.2492
45278,461,11466.4485,11634.1568
45376,462,11466.4485,11596.0211
45474,463,11466.4485,11618.6327
45572,464,11466.4485,11589.4203
45670,465,11397.6988,11587.2838
45768,466,11397.6988,11630.9562
45866,467,11397.6988,11616.4603
45964,468,11397.6988,11645.3677
46062,469,11397.6988,11664.2680
46160,470,11290.9816,11690.5216
46258,471,11290.9816,11618.8749
46356,472,11290.9816,11682.8877
46454,473,11253.8930,11652.4128
46552,474,11253.8930,11733.0608
46650,475,11253.8930,11817.4398
46748,476,11253.8930,11772.8234
46846,477,11253.8930,11900.5535
