avaliacoes_fim_intervalo,fracao_pioras_aceitas
601,0.738676
1101,0.814035
1601,0.818182
2101,0.826087
2601,0.764706
3101,0.791971
3601,0.798587
4101,0.768657
4601,0.785714
5101,0.797872
5601,0.822464
6101,0.806818
6601,0.809187
7101,0.840741
7601,0.785978
8101,0.837638
8601,0.781818
9101,0.794964
9601,0.804965
10101,0.833962
10601,0.824916
11101,0.757785
11601,0.764493
12101,0.818182
12601,0.780488
13101,0.787234
13601,0.786765
14101,0.764912
14601,0.799257
15101,0.797101
15601,0.787456
16101,0.797048
16601,0.778523
17101,0.711268
17601,0.802817
18101,0.772727
18601,0.790780
19101,0.787770
19601,0.766784
20101,0.809689
20601,0.749091
21101,0.786477
21601,0.762590
22101,0.757143
22601,0.834559
23101,0.741935
23601,0.794425
24101,0.794007
24601,0.818182
25101,0.776557
25601,0.712838
26101,0.803571
26601,0.729825
27101,0.768116
27601,0.829181
28101,0.782313
28601,0.764045
29101,0.737589
29601,0.777003
30101,0.775362
30601,0.763636
31101,0.785714
31601,0.740484
32101,0.754266
32601,0.746575
33101,0.727273
33601,0.791667
34101,0.762963
34601,0.800000
35101,0.771739
35601,0.779783
36101,0.744604
36601,0.763934
37101,0.808824
37601,0.786232
38101,0.780069
38601,0.784722
39101,0.782007
39601,0.766551
40101,0.762590
40601,0.762887
41101,0.725000
41601,0.757353
42101,0.760563
42601,0.780142
43101,0.768166
43601,0.725275
44101,0.733108
44601,0.753521
45101,0.750903
45601,0.736655
46101,0.786713
46601,0.760417
47101,0.723549
47601,0.772059
48101,0.763889
48601,0.757143
49101,0.798587
49601,0.786517
50101,0.739274
50601,0.725352
51101,0.766102
51601,0.690000
52101,0.698997
52601,0.752577
53101,0.813187
53601,0.720539
54101,0.781818
54601,0.727612
55101,0.734483
55601,0.713262
56101,0.735974
56601,0.765734
57101,0.769231
57601,0.724014
58101,0.727273
58601,0.698246
59101,0.764085
59601,0.746667
60101,0.759197
60601,0.741135
61101,0.704082
61601,0.746528
62101,0.740351
62601,0.716263
63101,0.758865
63601,0.742049
64101,0.718519
64601,0.718447
65101,0.719723
65601,0.748299
66101,0.693380
66601,0.734317
67101,0.745520
67601,0.703180
68101,0.757246
68601,0.782918
69101,0.727273
69601,0.799308
70101,0.755319
70601,0.726351
71101,0.728223
71601,0.700337
72101,0.691030
72601,0.730263
73101,0.695804
73601,0.733788
74101,0.728758
74601,0.737705
75101,0.714754
75601,0.722222
76101,0.696370
76601,0.722807
77101,0.699659
77601,0.779412
78101,0.688581
78601,0.698305
79101,0.730000
79601,0.705882
80101,0.728522
