avaliacoes,iteracao,custo_melhor,custo_atual
101,0,51420.1029,51420.1029
601,500,42423.6710,45894.0254
1101,1000,41396.5159,46288.5657
1601,1500,41396.5159,45925.6238
2101,2000,41396.5159,50284.3917
2601,2500,41396.5159,50560.0693
3101,3000,41396.5159,48794.5975
3601,3500,41396.5159,47414.6851
4101,4000,41396.5159,44282.1778
4601,4500,41396.5159,49172.0217
5101,5000,41396.5159,48997.8822
5601,5500,41396.5159,50109.1095
6101,6000,41396.5159,47945.4554
6601,6500,41396.5159,50114.7325
7101,7000,40713.5785,48726.7401
7601,7500,40713.5785,44548.4486
8101,8000,40713.5785,47857.7529
8601,8500,40713.5785,44172.5551
9101,9000,40256.6910,46523.7407
9601,9500,40256.6910,53394.0280
10101,10000,40256.6910,49098.2648
10601,10500,40256.6910,46874.6016
11101,11000,40256.6910,44305.0511
11601,11500,40256.6910,46193.5498
12101,12000,40256.6910,46484.8193
12601,12500,40256.6910,45450.2650
13101,13000,40256.6910,48164.4531
13601,13500,40256.6910,47752.5028
14101,14000,40256.6910,46952.9553
14601,14500,40256.6910,46801.7059
15101,15000,40256.6910,42332.5756
15601,15500,40256.6910,46419.4684
16101,16000,40256.6910,42744.5670
16601,16500,40256.6910,46166.2388
17101,17000,40256.6910,47084.7780
17601,17500,40256.6910,47818.4710
18101,18000,40256.6910,43428.2387
18601,18500,40256.6910,49430.6827
19101,19000,40256.6910,45879.7398
19601,19500,40256.6910,53820.2434
20101,20000,40256.6910,47116.4459
20601,20500,40256.6910,43608.5795
21101,21000,40256.6910,46332.2618
21601,21500,40256.6910,44184.2489
22101,22000,40256.6910,49712.2748
22601,22500,40256.6910,48689.2253
23101,23000,40256.6910,44614.0809
23601,23500,40256.6910,47626.4903
24101,24000,40256.6910,43326.7187
24601,24500,40256.6910,49277.1825
25101,25000,40256.6910,43012.7758
25601,25500,37888.8312,45563.0576
26101,26000,37888.8312,51935.4611
26601,26500,37888.8312,50866.3743
27101,27000,37888.8312,51267.9637
27601,27500,37888.8312,48500.1674
28101,28000,37888.8312,50566.6175
28601,28500,37888.8312,47157.2895
29101,29000,37888.8312,43651.6512
29601,29500,37888.8312,49335.2622
30101,30000,37888.8312,44414.1579
30601,30500,37888.8312,47856.9710
31101,31000,37888.8312,46278.4838
31601,31500,37888.8312,42901.9549
32101,32000,37888.8312,49478.8903
32601,32500,37888.8312,48340.3507
33101,33000,37888.8312,51111.4656
33601,33500,37888.8312,52724.3433
34101,34000,37888.8312,46355.5609
34601,34500,37888.8312,45576.5307
35101,35000,37888.8312,44749.4812
35601,35500,37888.8312,51724.0866
36101,36000,37888.8312,46633.0279
36601,36500,37888.8312,49356.9925
37101,37000,37888.8312,47689.6360
37601,37500,37888.8312,42099.5480
38101,38000,37888.8312,47952.6371
38601,38500,37888.8312,46287.8763
39101,39000,37888.8312,52155.1542
39601,39500,37888.8312,47485.5873
40101,40000,37888.8312,48482.1098
40601,40500,37888.8312,48690.8721
41101,41000,37888.8312,49134.6778
41601,41500,37888.8312,44140.2203
42101,42000,37888.8312,49066.9775
42601,42500,37888.8312,43888.2124
43101,43000,37888.8312,49279.2197
43601,43500,37888.8312,48432.2262
44101,44000,37888.8312,45603.1763
44601,44500,37888.8312,48556.8464
45101,45000,37888.8312,48865.1396
45601,45500,37888.8312,46586.4662
46101,46000,37888.8312,47432.8365
46601,46500,37888.8312,46828.3907
47101,47000,37888.8312,46626.8096
47601,47500,37888.8312,47892.8352
48101,48000,37888.8312,48423.9779
48601,48500,37888.8312,44085.8886
49101,49000,37888.8312,46905.9534
49601,49500,37888.8312,40636.2352
50101,50000,37888.8312,53454.5971
50601,50500,37888.8312,47694.3086
51101,51000,37888.8312,43645.9752
51601,51500,37888.8312,45812.6537
52101,52000,37888.8312,42579.6598
52601,52500,37888.8312,44833.1979
53101,53000,37888.8312,45751.9714
53601,53500,37888.8312,50707.3429
54101,54000,37888.8312,46851.5884
54601,54500,37888.8312,48900.9797
55101,55000,37888.8312,46475.2999
55601,55500,37888.8312,43590.3469
56101,56000,37888.8312,47369.0731
56601,56500,37888.8312,49337.7843
57101,57000,37888.8312,47355.2028
57601,57500,37888.8312,46573.4752
58101,58000,37888.8312,44868.7047
58601,58500,37888.8312,46713.2040
59101,59000,37888.8312,45810.8474
59601,59500,37888.8312,50027.1462
60101,60000,37888.8312,50245.7389
60601,60500,37888.8312,49085.5527
61101,61000,37888.8312,49489.3238
61601,61500,37888.8312,46853.1506
62101,62000,37888.8312,44865.5486
62601,62500,37888.8312,47473.3271
63101,63000,37888.8312,48325.2193
63601,63500,37888.8312,47377.5231
64101,64000,37888.8312,42793.6543
64601,64500,37888.8312,45973.2944
65101,65000,37888.8312,46213.0393
65601,65500,37888.8312,47979.0532
66101,66000,37888.8312,45805.2244
66601,66500,37888.8312,48536.7048
67101,67000,37888.8312,44124.2717
67601,67500,37888.8312,45268.8560
68101,68000,37888.8312,47621.6899
68601,68500,37888.8312,45152.3835
69101,69000,37888.8312,45689.6470
69601,69500,37888.8312,47831.2052
70101,70000,37888.8312,45439.3186
70601,70500,37888.8312,49703.6695
71101,71000,37888.8312,45513.7020
71601,71500,37888.8312,43159.6181
72101,72000,37888.8312,45692.6015
72601,72500,37888.8312,45432.2099
73101,73000,37888.8312,46941.8204
73601,73500,37888.8312,45716.9254
74101,74000,37888.8312,48189.0443
74601,74500,37888.8312,48532.3847
75101,75000,37888.8312,49624.6479
75601,75500,37888.8312,43227.3828
76101,76000,37888.8312,46492.5625
76601,76500,37888.8312,45513.7382
77101,77000,37888.8312,48019.9815
