avaliacoes,iteracao,temperatura
101,0,1443.44
601,500,1443.44
1101,1000,1443.44
1601,1500,1443.44
2101,2000,1443.44
2601,2500,1443.44
3101,3000,1443.44
3601,3500,1443.44
4101,4000,1443.44
4601,4500,1443.44
5101,5000,1443.44
5601,5500,1443.44
6101,6000,1443.44
6601,6500,1443.44
7101,7000,1443.44
7601,7500,1443.44
8101,8000,1443.44
8601,8500,1443.44
9101,9000,1443.44
9601,9500,1443.44
10101,10000,1371.26
10601,10500,1371.26
11101,11000,1371.26
11601,11500,1371.26
12101,12000,1371.26
12601,12500,1371.26
13101,13000,1371.26
13601,13500,1371.26
14101,14000,1371.26
14601,14500,1371.26
15101,15000,1371.26
15601,15500,1371.26
16101,16000,1371.26
16601,16500,1371.26
17101,17000,1371.26
17601,17500,1371.26
18101,18000,1371.26
18601,18500,1371.26
19101,19000,1371.26
19601,19500,1371.26
20101,20000,1302.7
20601,20500,1302.7
21101,21000,1302.7
21601,21500,1302.7
22101,22000,1302.7
22601,22500,1302.7
23101,23000,1302.7
23601,23500,1302.7
24101,24000,1302.7
24601,24500,1302.7
25101,25000,1302.7
25601,25500,1302.7
26101,26000,1302.7
26601,26500,1302.7
27101,27000,1302.7
27601,27500,1302.7
28101,28000,1302.7
28601,28500,1302.7
29101,29000,1302.7
29601,29500,1302.7
30101,30000,1237.57
30601,30500,1237.57
31101,31000,1237.57
31601,31500,1237.57
32101,32000,1237.57
32601,32500,1237.57
33101,33000,1237.57
33601,33500,1237.57
34101,34000,1237.57
34601,34500,1237.57
35101,35000,1237.57
35601,35500,1237.57
36101,36000,1237.57
36601,36500,1237.57
37101,37000,1237.57
37601,37500,1237.57
38101,38000,1237.57
38601,38500,1237.57
39101,39000,1237.57
39601,39500,1237.57
40101,40000,1175.69
40601,40500,1175.69
41101,41000,1175.69
41601,41500,1175.69
42101,42000,1175.69
42601,42500,1175.69
43101,43000,1175.69
43601,43500,1175.69
44101,44000,1175.69
44601,44500,1175.69
45101,45000,1175.69
45601,45500,1175.69
46101,46000,1175.69
46601,46500,1175.69
47101,47000,1175.69
47601,47500,1175.69
48101,48000,1175.69
48601,48500,1175.69
49101,49000,1175.69
49601,49500,1175.69
50101,50000,1116.9
50601,50500,1116.9
51101,51000,1116.9
51601,51500,1116.9
52101,52000,1116.9
52601,52500,1116.9
53101,53000,1116.9
53601,53500,1116.9
54101,54000,1116.9
54601,54500,1116.9
55101,55000,1116.9
55601,55500,1116.9
56101,56000,1116.9
56601,56500,1116.9
57101,57000,1116.9
57601,57500,1116.9
58101,58000,1116.9
58601,58500,1116.9
59101,59000,1116.9
59601,59500,1116.9
60101,60000,1061.06
60601,60500,1061.06
61101,61000,1061.06
61601,61500,1061.06
62101,62000,1061.06
62601,62500,1061.06
63101,63000,1061.06
63601,63500,1061.06
64101,64000,1061.06
64601,64500,1061.06
65101,65000,1061.06
65601,65500,1061.06
66101,66000,1061.06
66601,66500,1061.06
67101,67000,1061.06
67601,67500,1061.06
68101,68000,1061.06
68601,68500,1061.06
69101,69000,1061.06
69601,69500,1061.06
70101,70000,1008
70601,70500,1008
71101,71000,1008
71601,71500,1008
