avaliacoes,geracao,custo_melhor,custo_medio,custo_pior
100,0,8485.5298,10878.2606,12995.0726
198,1,7433.7822,10140.4335,11621.0767
296,2,6915.1912,9674.8808,12480.0767
394,3,6032.9092,9101.6250,11626.2244
492,4,6032.9092,8628.4902,11172.2341
590,5,4941.5781,8241.9288,10592.4679
688,6,4941.5781,7988.8027,9857.1035
786,7,4941.5781,7598.6910,9885.7858
884,8,4941.5781,7331.8463,9795.0611
982,9,4941.5781,7052.7154,8971.8260
1080,10,4941.5781,6955.1524,8835.0291
1178,11,4941.5781,6667.6041,8863.1691
1276,12,4941.5781,6570.0761,9146.5558
1374,13,4941.5781,6438.6277,8216.3752
1472,14,4941.5781,6446.2908,9619.2573
1570,15,4941.5781,6521.8875,8110.4423
1668,16,4941.5781,6652.3212,8420.8943
1766,17,4941.5781,6547.8098,9131.1174
1864,18,4933.3729,6288.6185,8557.0369
1962,19,4933.3729,6254.6435,7942.3315
2060,20,4813.2872,6104.1088,8508.5765
2158,21,4813.2872,5873.4334,7961.9812
2256,22,4813.2872,5610.4157,8210.6168
2354,23,4693.3497,5516.2212,6965.0470
2452,24,4693.3497,5524.6682,7502.3275
2550,25,4693.3497,5527.1920,7756.3350
2648,26,4581.2696,5486.0837,7040.8562
2746,27,4581.2696,5369.3379,7548.1587
2844,28,4479.9480,5377.9227,7028.5340
2942,29,4458.6428,5402.3459,7551.5461
3040,30,4458.6428,5556.0170,7497.0910
3138,31,4340.8616,5542.4720,7313.8847
3236,32,4340.8616,5671.4299,7729.4346
3334,33,4340.8616,5693.4315,7595.8635
3432,34,4079.3818,5616.5434,8474.1735
3530,35,4079.3818,5590.0190,7844.9345
3628,36,4079.3818,5429.4002,7351.9330
3726,37,4079.3818,5414.9239,7265.6359
3824,38,4079.3818,5334.5393,7650.8324
3922,39,4079.3818,5361.8100,7505.5213
4020,40,4030.3519,5390.2325,7704.0926
4118,41,3635.5754,5362.5427,6888.5389
4216,42,3635.5754,5329.9724,7387.9258
4314,43,3635.5754,5127.6954,7693.5975
4412,44,3635.5754,4860.4116,7296.7568
4510,45,3584.5605,4693.9162,7887.9675
4608,46,3559.8868,4459.0891,6424.5583
4706,47,3455.1472,4273.7753,6319.3481
4804,48,3455.1472,3948.3186,5743.4262
4902,49,3455.1472,3783.5180,5030.0834
5000,50,3455.1472,3763.2508,4965.2155
5098,51,3455.1472,3736.9251,5268.6540
5196,52,3455.1472,3731.2070,5584.3941
5294,53,3455.1472,3710.0069,5655.2941
5392,54,3455.1472,3701.0404,6011.5247
5490,55,3455.1472,3569.6530,4753.9784
5588,56,3455.1472,3660.4919,4935.3691
5686,57,3455.1472,3625.1195,4935.3691
5784,58,3455.1472,3675.0744,4900.0971
5882,59,3455.1472,3569.9712,4843.1643
5980,60,3455.1472,3616.1495,5038.2420
6078,61,3455.1472,3579.6558,4843.1643
6176,62,3455.1472,3636.8043,4702.7711
6274,63,3455.1472,3617.7689,5191.0149
6372,64,3455.1472,3680.9824,5038.2420
6470,65,3455.1472,3596.4487,5060.8086
6568,66,3428.6803,3612.0705,4835.6201
6666,67,3428.6803,3603.6020,5041.0711
6764,68,3428.6803,3593.6102,4856.0758
6862,69,3428.6803,3623.2624,4809.1532
6960,70,3428.6803,3641.1400,4996.1212
7058,71,3428.6803,3665.7924,4825.5740
7156,72,3428.6803,3625.1254,4766.1222
7254,73,3428.6803,3567.4795,4873.6302
7352,74,3428.6803,3597.8815,4967.2719
7450,75,3428.6803,3603.7317,5220.6051
7548,76,3428.6803,3640.7022,4890.9452
7646,77,3428.6803,3551.3642,5011.7751
7744,78,3428.6803,3554.7870,4676.3042
