cidades,seed,algoritmo,custo_inicial,custo_final,custo_vizinho_mais_proximo,diferenca_para_referencia,avaliacoes,iteracoes,tempo_s,motivo_parada
20,0,tempera,10388.5008,4364.4210,5094.7041,-0.143342,188101,188000,1.7959,min_temperature
20,0,ag,7774.8583,4364.4210,5094.7041,-0.143342,24502,249,2.3473,stagnation
20,1,tempera,12740.3774,3610.7288,4457.8627,-0.190031,188101,188000,1.6483,min_temperature
20,1,ag,7599.4088,3610.7288,4457.8627,-0.190031,24992,254,2.4963,stagnation
20,2,tempera,9659.4149,3723.7323,4571.3010,-0.185411,188101,188000,1.7079,min_temperature
20,2,ag,7541.0015,3723.7323,4571.3010,-0.185411,25580,260,2.5553,stagnation
20,3,tempera,10563.6213,3942.1989,4588.5176,-0.140856,188101,188000,1.7160,min_temperature
20,3,ag,8584.7396,3942.1989,4588.5176,-0.140856,26364,268,2.8445,stagnation
20,4,tempera,10288.0604,3786.8438,5024.5790,-0.246336,188101,188000,1.6908,min_temperature
20,4,ag,7939.2226,3786.8438,5024.5790,-0.246336,38222,389,3.7678,stagnation
20,5,tempera,11584.7605,4070.2751,4425.8746,-0.080346,188101,188000,1.7152,min_temperature
20,5,ag,9099.0350,4070.2751,4425.8746,-0.080346,31264,318,3.1479,stagnation
20,6,tempera,11299.0798,4022.3207,4519.8416,-0.110075,188101,188000,1.7228,min_temperature
20,6,ag,8738.5663,4140.0412,4519.8416,-0.084030,25874,263,2.5144,stagnation
20,7,tempera,10962.2062,4371.2864,4851.9100,-0.099059,188101,188000,1.6689,min_temperature
20,7,ag,9085.6505,4652.2812,4851.9100,-0.041144,38320,390,3.6643,stagnation
20,8,tempera,9659.6240,3301.6231,4632.9457,-0.287360,188101,188000,1.6777,min_temperature
20,8,ag,7293.9563,3301.6231,4632.9457,-0.287360,24992,254,2.4474,stagnation
20,9,tempera,12157.2048,4041.6461,5195.6674,-0.222112,188101,188000,1.6339,min_temperature
20,9,ag,8721.1427,4041.6461,5195.6674,-0.222112,25776,262,2.6410,stagnation
50,0,tempera,28042.3620,6043.2395,7215.1129,-0.162419,470101,470000,4.3089,min_temperature
50,0,ag,23785.2403,6538.6710,7215.1129,-0.093753,56940,580,5.7116,stagnation
50,1,tempera,26918.9431,5247.5274,5938.3717,-0.116336,470101,470000,4.2401,min_temperature
50,1,ag,22434.8446,6313.6019,5938.3717,0.063187,55274,563,5.6396,stagnation
50,2,tempera,25998.9302,5873.5805,7257.1293,-0.190647,470101,470000,4.3349,min_temperature
50,2,ag,22519.5693,6002.7180,7257.1293,-0.172852,61644,628,6.0597,stagnation
50,3,tempera,23998.7953,5714.0143,7480.8270,-0.236179,470101,470000,4.2085,min_temperature
50,3,ag,21079.6969,5939.4350,7480.8270,-0.206046,67622,689,6.4782,stagnation
50,4,tempera,24618.6453,5901.2446,7814.4546,-0.244830,470101,470000,4.2904,min_temperature
50,4,ag,21564.5846,6111.7374,7814.4546,-0.217893,55078,561,5.3122,stagnation
50,5,tempera,24607.2246,5664.2180,6639.9168,-0.146944,470101,470000,4.4398,min_temperature
50,5,ag,21779.3631,6155.4338,6639.9168,-0.072965,64094,653,6.2383,stagnation
50,6,tempera,26014.2970,5534.2972,6196.7740,-0.106907,470101,470000,4.2215,min_temperature
50,6,ag,23675.1252,5685.4596,6196.7740,-0.082513,58116,592,5.7928,stagnation
50,7,tempera,25418.8146,6065.8837,7007.2184,-0.134338,470101,470000,4.3324,min_temperature
50,7,ag,22314.9521,6290.4207,7007.2184,-0.102294,77422,789,8.0525,stagnation
50,8,tempera,22632.3573,5592.9672,6856.0893,-0.184234,470101,470000,4.5931,min_temperature
50,8,ag,19258.5375,5697.1477,6856.0893,-0.169038,50668,516,5.4939,stagnation
50,9,tempera,29511.0748,5479.3286,6829.2607,-0.197669,470101,470000,4.3719,min_temperature
50,9,ag,22420.2485,5477.4359,6829.2607,-0.197946,55960,570,5.4507,stagnation
100,0,tempera,57229.2863,8185.1131,10133.1682,-0.192245,940101,940000,8.6286,min_temperature
100,0,ag,47431.6536,8658.3429,10133.1682,-0.145544,175814,1793,17.9766,stagnation
100,1,tempera,50565.9773,7787.1614,9632.2874,-0.191556,940101,940000,9.1179,min_temperature
100,1,ag,45515.6034,7942.0281,9632.2874,-0.175478,124560,1270,12.4282,stagnation
