cidades,seed,algoritmo,custo_inicial,custo_final,custo_vizinho_mais_proximo,diferenca_para_referencia,avaliacoes,iteracoes,tempo_s,motivo_parada
20,0,tempera,10388.5008,4364.4210,5094.7041,-0.143342,134101,134000,1.2201,min_temperature
20,0,ag,7774.8583,4364.4210,5094.7041,-0.143342,24502,249,2.4215,stagnation
20,1,tempera,12740.3774,3610.7288,4457.8627,-0.190031,134101,134000,1.1335,min_temperature
20,1,ag,7599.4088,3610.7288,4457.8627,-0.190031,24992,254,2.3217,stagnation
20,2,tempera,9659.4149,3723.7323,4571.3010,-0.185411,134101,134000,1.2015,min_temperature
20,2,ag,7541.0015,3723.7323,4571.3010,-0.185411,25580,260,2.3324,stagnation
20,3,tempera,10563.6213,3942.1989,4588.5176,-0.140856,134101,134000,1.1905,min_temperature
20,3,ag,8584.7396,3942.1989,4588.5176,-0.140856,26364,268,2.4329,stagnation
20,4,tempera,10288.0604,3786.8438,5024.5790,-0.246336,134101,134000,1.1823,min_temperature
20,4,ag,7939.2226,3786.8438,5024.5790,-0.246336,38222,389,3.5034,stagnation
20,5,tempera,11584.7605,4070.2751,4425.8746,-0.080346,134101,134000,1.1702,min_temperature
20,5,ag,9099.0350,4070.2751,4425.8746,-0.080346,31264,318,2.9243,stagnation
20,6,tempera,11299.0798,4022.3207,4519.8416,-0.110075,134101,134000,1.1865,min_temperature
20,6,ag,8738.5663,4140.0412,4519.8416,-0.084030,25874,263,2.4664,stagnation
20,7,tempera,10962.2062,4371.2864,4851.9100,-0.099059,134101,134000,1.1620,min_temperature
20,7,ag,9085.6505,4652.2812,4851.9100,-0.041144,38320,390,3.5304,stagnation
20,8,tempera,9659.6240,3301.6231,4632.9457,-0.287360,134101,134000,1.1746,min_temperature
20,8,ag,7293.9563,3301.6231,4632.9457,-0.287360,24992,254,2.2974,stagnation
20,9,tempera,12157.2048,4041.6461,5195.6674,-0.222112,134101,134000,1.1788,min_temperature
20,9,ag,8721.1427,4041.6461,5195.6674,-0.222112,25776,262,2.3487,stagnation
50,0,tempera,28042.3620,6167.0854,7215.1129,-0.145254,335101,335000,2.8899,min_temperature
50,0,ag,23785.2403,6538.6710,7215.1129,-0.093753,56940,580,5.1875,stagnation
50,1,tempera,26918.9431,5409.4299,5938.3717,-0.089072,335101,335000,2.9468,min_temperature
50,1,ag,22434.8446,6313.6019,5938.3717,0.063187,55274,563,5.2027,stagnation
50,2,tempera,25998.9302,6547.0658,7257.1293,-0.097844,335101,335000,2.9495,min_temperature
50,2,ag,22519.5693,6002.7180,7257.1293,-0.172852,61644,628,5.7154,stagnation
50,3,tempera,23998.7953,5792.8936,7480.8270,-0.225635,335101,335000,2.8861,min_temperature
50,3,ag,21079.6969,5939.4350,7480.8270,-0.206046,67622,689,6.2922,stagnation
50,4,tempera,24618.6453,6248.3213,7814.4546,-0.200415,335101,335000,2.9407,min_temperature
50,4,ag,21564.5846,6111.7374,7814.4546,-0.217893,55078,561,5.1519,stagnation
50,5,tempera,24607.2246,6600.6966,6639.9168,-0.005907,335101,335000,2.9571,min_temperature
50,5,ag,21779.3631,6155.4338,6639.9168,-0.072965,64094,653,6.0466,stagnation
50,6,tempera,26014.2970,5946.7366,6196.7740,-0.040350,335101,335000,2.9599,min_temperature
50,6,ag,23675.1252,5685.4596,6196.7740,-0.082513,58116,592,5.4094,stagnation
50,7,tempera,25418.8146,6542.1783,7007.2184,-0.066366,335101,335000,2.9268,min_temperature
50,7,ag,22314.9521,6290.4207,7007.2184,-0.102294,77422,789,7.1467,stagnation
50,8,tempera,22632.3573,5820.2332,6856.0893,-0.151086,335101,335000,2.9906,min_temperature
50,8,ag,19258.5375,5697.1477,6856.0893,-0.169038,50668,516,4.7749,stagnation
50,9,tempera,29511.0748,5531.4249,6829.2607,-0.190040,335101,335000,2.8395,min_temperature
50,9,ag,22420.2485,5477.4359,6829.2607,-0.197946,55960,570,5.2975,stagnation
100,0,tempera,57229.2863,10594.3601,10133.1682,0.045513,670101,670000,5.9333,min_temperature
100,0,ag,47431.6536,8658.3429,10133.1682,-0.145544,175814,1793,16.7141,stagnation
100,1,tempera,50565.9773,10443.4460,9632.2874,0.084212,670101,670000,5.8911,min_temperature
100,1,ag,45515.6034,7942.0281,9632.2874,-0.175478,124560,1270,11.7971,stagnation
100,2,tempera,51422.9701,11792.6632,8988.9460,0.311907,670101,670000,5.8366,min_temperature
100,2,ag,47470.4637,8543.6509,8988.9460,-0.049538,138280,1410,12.9860,stagnation
100,3,tempera,48597.8806,10199.2148,10476.0248,-0.026423,670101,670000,5.7956,min_temperature
100,3,ag,44346.3244,8754.6445,10476.0248,-0.164316,164936,1682,15.2327,stagnation
100,4,tempera,52001.4242,9486.8918,9174.2677,0.034076,670101,670000,5.7511,min_temperature
100,4,ag,46737.5948,8659.0310,9174.2677,-0.056161,136516,1392,12.8116,stagnation
100,5,tempera,50253.3911,10616.6485,9834.3395,0.079549,670101,670000,5.7524,min_temperature
100,5,ag,47639.2461,8790.0822,9834.3395,-0.106185,118582,1209,11.1266,stagnation
100,6,tempera,52666.1247,10528.6879,9500.1306,0.108268,670101,670000,5.8393,min_temperature
100,6,ag,49442.5553,8526.4019,9500.1306,-0.102496,181596,1852,17.5771,stagnation
100,7,tempera,52398.5696,10520.7472,9005.3861,0.168273,670101,670000,6.1653,min_temperature
100,7,ag,44943.4799,8872.9188,9005.3861,-0.014710,178068,1816,17.4030,stagnation
100,8,tempera,49579.7093,9603.7276,9199.4006,0.043951,670101,670000,6.6747,min_temperature
100,8,ag,46754.9908,8193.7532,9199.4006,-0.109317,142200,1450,14.9393,stagnation
100,9,tempera,53035.0514,8760.1096,10221.0840,-0.142937,670101,670000,6.5185,min_temperature
100,9,ag,43945.5329,8564.2916,10221.0840,-0.162096,167288,1706,17.2600,stagnation
